Year_Quarter	Year	Quarter	AutoLoan_620_LS	AutoLoan_620_659	AutoLoan_660_719	AutoLoan_720_759	AutoLoan_760_GT	AutoLoan_Total	AutoLoanOutstanding
04:Q1	2004	Q1	31.9	14.5	27.0	17.3	21.2	112.0	0.72
04:Q2	2004	Q2	26.8	15.6	32.3	18.0	24.8	117.5	0.74
04:Q3	2004	Q3	30.3	15.6	27.1	18.9	24.0	116.0	0.75
04:Q4	2004	Q4	30.0	13.3	26.4	16.6	23.4	109.8	0.73
05:Q1	2005	Q1	27.5	12.0	23.0	15.6	22.4	100.4	0.73
05:Q2	2005	Q2	41.2	19.7	34.2	21.7	33.8	150.7	0.77
05:Q3	2005	Q3	35.5	22.6	35.3	24.6	41.7	159.7	0.83
05:Q4	2005	Q4	31.4	18.1	25.0	13.7	20.4	108.6	0.79
06:Q1	2006	Q1	30.7	13.9	21.2	14.4	21.0	101.3	0.79
06:Q2	2006	Q2	36.4	16.8	23.4	15.8	21.9	114.3	0.80
06:Q3	2006	Q3	36.6	19.5	28.6	17.1	27.3	129.1	0.82
06:Q4	2006	Q4	30.8	12.9	23.0	15.0	22.8	104.5	0.82
07:Q1	2007	Q1	27.7	11.7	19.3	13.7	21.1	93.6	0.79
07:Q2	2007	Q2	30.9	13.9	22.2	15.6	25.5	108.1	0.81
07:Q3	2007	Q3	32.5	15.1	22.7	17.1	27.2	114.6	0.82
07:Q4	2007	Q4	28.7	11.8	19.3	14.2	24.9	98.9	0.82
08:Q1	2008	Q1	24.9	10.9	17.7	13.3	22.1	88.9	0.81
08:Q2	2008	Q2	25.9	12.5	18.3	14.8	26.4	98.0	0.81
08:Q3	2008	Q3	21.5	11.7	20.5	14.0	25.8	93.5	0.81
08:Q4	2008	Q4	16.9	8.6	15.5	11.3	20.5	72.8	0.79
09:Q1	2009	Q1	14.0	7.2	13.3	10.2	20.4	65.0	0.77
09:Q2	2009	Q2	12.6	7.5	14.2	11.4	23.7	69.4	0.74
09:Q3	2009	Q3	14.6	8.8	15.6	13.7	28.2	81.0	0.74
09:Q4	2009	Q4	11.4	7.4	13.2	11.3	23.2	66.5	0.72
10:Q1	2010	Q1	11.9	7.6	12.9	10.3	22.6	65.3	0.70
10:Q2	2010	Q2	15.6	9.1	17.3	13.3	28.6	83.8	0.70
10:Q3	2010	Q3	15.4	10.2	19.5	14.0	30.8	89.8	0.71
10:Q4	2010	Q4	16.8	9.0	17.0	12.7	26.4	82.0	0.71
11:Q1	2011	Q1	15.0	9.5	16.2	12.1	26.4	79.2	0.71
11:Q2	2011	Q2	18.4	11.5	18.9	13.7	29.9	92.4	0.71
11:Q3	2011	Q3	20.3	12.7	22.1	14.5	29.8	99.4	0.73
11:Q4	2011	Q4	17.7	11.2	18.7	13.6	27.0	88.2	0.73
12:Q1	2012	Q1	19.1	11.2	18.4	12.8	28.0	89.6	0.74
12:Q2	2012	Q2	23.1	13.6	21.0	14.8	29.5	102.0	0.75
12:Q3	2012	Q3	24.4	14.2	21.5	15.2	32.2	107.6	0.77
12:Q4	2012	Q4	23.5	14.9	23.5	16.4	31.6	110.0	0.78
13:Q1	2013	Q1	20.3	13.4	21.5	14.3	29.7	99.2	0.79
13:Q2	2013	Q2	26.2	15.7	25.1	15.3	33.8	116.0	0.81
13:Q3	2013	Q3	26.8	17.4	29.1	17.9	36.3	127.6	0.85
13:Q4	2013	Q4	25.2	15.6	22.5	15.1	31.7	110.1	0.86
14:Q1	2014	Q1	23.1	14.0	23.0	15.0	33.8	108.9	0.88
14:Q2	2014	Q2	28.1	17.5	27.0	17.8	35.5	125.9	0.91
14:Q3	2014	Q3	29.0	16.9	29.4	18.9	38.4	132.6	0.93
14:Q4	2014	Q4	28.6	16.5	26.8	17.4	36.1	125.5	0.96
15:Q1	2015	Q1	25.3	14.6	25.5	15.7	35.9	117.0	0.97
15:Q2	2015	Q2	37.6	20.7	30.9	18.8	40.2	148.3	1.01
15:Q3	2015	Q3	33.2	20.1	31.7	19.9	45.9	150.8	1.05
15:Q4	2015	Q4	28.7	17.1	28.9	18.5	38.3	131.5	1.06
16:Q1	2016	Q1	26.9	16.1	26.3	17.1	37.5	123.9	1.07
16:Q2	2016	Q2	33.6	20.7	31.7	20.6	42.4	148.9	1.10
16:Q3	2016	Q3	31.3	19.8	33.5	21.2	44	149.8	1.14
16:Q4	2016	Q4	27.2	17.8	31.8	19.5	45.7	142.0	1.16
17:Q1	2017	Q1	25.9	15.6	28.5	20.4	42.0	132.4	1.17
17:Q2	2017	Q2	32.3	18.6	33.2	20.6	43.7	148.4	1.19
17:Q3	2017	Q3	29.6	18.2	33.7	23.0	46.1	150.6	1.21
17:Q4	2017	Q4	26.0	16.7	30.2	20.2	44.1	137.2	1.22
18:Q1	2018	Q1	24.7	15.1	28.6	18.9	43.6	130.9	1.23
18:Q2	2018	Q2	32.2	18.4	31.6	21.4	47.7	151.2	1.24
18:Q3	2018	Q3	32.6	18.1	33.8	23.2	49.9	157.6	1.27
18:Q4	2018	Q4	27.9	16.7	31.8	20.3	47.7	144.3	1.27
19:Q1	2019	Q1	27.9	17.0	29.1	19.1	45.9	139.1	1.28
19:Q2	2019	Q2	32.7	19.2	31.8	22.6	49.2	155.6	1.30
19:Q3	2019	Q3	30.1	18.9	32.5	24.6	53.0	159.1	1.32
19:Q4	2019	Q4	31.0	16.7	33.5	22.4	55.0	158.6	1.33
20:Q1	2020	Q1	28.4	15.6	29.0	24.4	53.0	150.3	1.35
